Ticker,Name of Securities,Category,Sub-Category,Board Lot,Par Value,ISIN
8301,MINGWAH HI TECH,Equity,Equity Securities (GEM),"8,000",RMB 0.1000,CNE100000486
8305,TONG KEE HLDG,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG891951041
8307,MEDICSKIN,Equity,Equity Securities (GEM),"4,000",HKD 0.0100,KYG595641070
8308,GUDOU HLDGS,Equity,Equity Securities (GEM),"4,000",HKD 0.0100,KYG419791085
8309,MANSHING GLOBAL,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG579641013
8310,DAFENG PORT,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG2616H1074
8311,PERFECT OPT,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG7015H1039
8313,ZACD,Equity,Equity Securities (GEM),"10,000",,SG9999017792
8315,GREATWALLE INC,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG4080P1028
8316,PAK WING GP,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG687581044
8317,FINET GROUP,Equity,Equity Securities (GEM),"2,000",HKD 0.0100,BMG3445E1333
8319,EXPERT SYS,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG3313K1040
8320,AEC GROUP,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG021581064
8321,TAI KAM HLDGS,Equity,Equity Securities (GEM),"10,000",HKD 0.0500,KYG8661K1013
8325,CHINA SMARTPAY,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG2116H1020
8326,TK NEW ENERGY,Equity,Equity Securities (GEM),"1,000",HKD 0.0100,KYG8918S1057
8328,XINYI HK,Equity,Equity Securities (GEM),"4,000",HKD 0.0100,KYG9830W1096
8329,NEP INTERLONG,Equity,Equity Securities (GEM),"10,000",RMB 0.1000,CNE100000775
8331,HANGKAN GROUP,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG428851060
8333,ASTRUM FIN,Equity,Equity Securities (GEM),"5,000",HKD 0.0100,KYG059551021
8337,DIRECTEL,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG276801001
8340,VINCO FINANCIAL,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG9360V1095
8341,AESO HOLDING,Equity,Equity Securities (GEM),"5,000",USD 0.0100,KYG0113B1023
8346,TEM HOLDINGS,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,
8347,F8 ENT,Equity,Equity Securities (GEM),"8,000",HKD 0.0100,KYG3675A1085
8348,BINHAI TEDA,Equity,Equity Securities (GEM),"2,000",RMB 1.0000,CNE1000009Z8
8349,MEIGU TECH,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG5965T1013
8350,EXCALIBURGLOBAL,Equity,Equity Securities (GEM),"8,000",HKD 0.0100,KYG3313E1089
8351,LARRY JEWELRY,Equity,Equity Securities (GEM),"20,000",HKD 0.0100,BMG5383V1182
8353,ANACLE,Equity,Equity Securities (GEM),"3,000",,SG9999015903
8356,CNC HOLDINGS,Equity,Equity Securities (GEM),"10,000",HKD 0.0010,KYG2238D1043
8357,REPUBLIC HC,Equity,Equity Securities (GEM),"5,000",HKD 0.0100,KYG7516A1022
8360,AL GROUP,Equity,Equity Securities (GEM),"4,000",HKD 0.0100,KYG0149T1013
8362,WINNING TOWER,Equity,Equity Securities (GEM),"20,000",HKD 0.0100,KYG9722M1024
8363,SDM GROUP,Equity,Equity Securities (GEM),"2,000",HKD 0.1000,KYG794451057
8365,VBG INT'L,Equity,Equity Securities (GEM),"5,000",HKD 0.0100,
8366,ZJ UNITED INV,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG9897T1067
8367,SIMPLICITY HLDG,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG8147A1076
8368,CREATIVE CHINA,Equity,Equity Securities (GEM),"1,000",HKD 0.0100,KYG2562P1037
8370,ZHI SHENG GP,Equity,Equity Securities (GEM),"8,000",HKD 0.0100,KYG9898D1007
8371,TASTEGOURMET GP,Equity,Equity Securities (GEM),"4,000",HKD 0.1000,KYG868911010
8372,GBG HOLDINGS,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG4136R1020
8373,INDIGO STAR,Equity,Equity Securities (GEM),"5,000",HKD 0.0100,KYG4790A1067
8375,VERTICAL INT'L,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,
8377,SHEN YOU HLDGS,Equity,Equity Securities (GEM),"10,000",HKD 0.0500,KYG8118R1213
8379,PRIME INTEL,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG610821061
8383,LINOCRAFT HLDGS,Equity,Equity Securities (GEM),"8,000",HKD 0.0100,KYG5S10M1014
8385,PROSPEROUSPRINT,Equity,Equity Securities (GEM),"10,000",,HK0000376159
8391,CORNERSTONE TEC,Equity,Equity Securities (GEM),"4,000",HKD 0.0100,
8392,SATU HOLDINGS,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG7823H1056
8395,TREE HOLDINGS,Equity,Equity Securities (GEM),"20,000",HKD 0.0100,
8400,ASIA PIONEER,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG0541R1092
8401,STREAM IDEAS,Equity,Equity Securities (GEM),"2,000",HKD 0.0100,KYG8531R1048
8402,GT STEEL GROUP,Equity,Equity Securities (GEM),"5,000",HKD 0.0100,KYG417431080
8403,DOWWAY,Equity,Equity Securities (GEM),"20,000",USD 0.0001,KYG2R05A1027
8405,HANG CHI HLDG,Equity,Equity Securities (GEM),"4,000",HKD 0.0100,KYG428881000
8406,ALPHA ERA,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,
8411,K W NELSON GP,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG5335N1079
8412,BCI GROUP,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG090491005
8413,ASIA GROCERY,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG0R20R1005
8416,HM INTL HLDGS,Equity,Equity Securities (GEM),"5,000",HKD 0.0100,KYG452881009
8417,DADI EDU,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG2616M1069
8418,OPTIMA AUTO,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG677201058
8419,AV PROMOTIONS,Equity,Equity Securities (GEM),"5,000",HKD 0.0100,KYG069861063
8420,NEXION TECH,Equity,Equity Securities (GEM),"5,000",HKD 0.0100,KYG6528R1039
8422,WT GROUP,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG959001093
8423,CHI HO DEV,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG446491048
8425,HING MING HLDGS,Equity,Equity Securities (GEM),"4,000",HKD 0.0100,KYG459051093
8426,MODERN LIVING,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG618231032
8427,SK TARGET,Equity,Equity Securities (GEM),"8,000",HKD 0.0100,KYG8T18R1058
8428,CBK HOLDINGS,Equity,Equity Securities (GEM),"12,000",HKD 0.0100,KYG1991R1020
8429,ICICLE GROUP,Equity,Equity Securities (GEM),"5,000",HKD 0.0100,KYG4760A1022
8430,C&N HOLDINGS,Equity,Equity Securities (GEM),"5,000",HKD 0.0100,
8431,HAO BAI INTL,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG428951050
8432,BAR PACIFIC,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG1058P1063
8436,TAKBO GROUP,Equity,Equity Securities (GEM),"5,000",HKD 0.0100,KYG866301032
8437,RMH HOLDINGS,Equity,Equity Securities (GEM),"8,000",HKD 0.0100,KYG7610R1002
8439,SOMERLEY CAP,Equity,Equity Securities (GEM),"2,000",HKD 0.0100,KYG826111075
8441,IWS GROUP,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG499001066
8445,NOBLE ENG GP,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG654431066
8446,ITP HOLDINGS,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG479741038
8447,MS CONCEPT,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG631671032
8448,UNI PRINTSHOP,Equity,Equity Securities (GEM),"20,000",HKD 0.0100,KYG9370R1065
8450,EDICO HOLDINGS,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG3057A1067
8451,SUNLIGHT HLDGS,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG8588E1052
8452,FY FINANCIAL,Equity,Equity Securities (GEM),"2,000",RMB 1.0000,CNE100002FQ6
8455,LAI GROUP,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,
8456,MANSION INTL,Equity,Equity Securities (GEM),"4,000",HKD 0.0100,KYG579801070
8460,BASETROPHY GP,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,
8462,OMNIBRIDGE HLDG,Equity,Equity Securities (GEM),"5,000",HKD 0.0100,KYG675071065
8465,TRANSTECH,Equity,Equity Securities (GEM),"2,000",HKD 0.0100,
8471,REACH NEW HLDGS,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG739531047
8472,LAPCO HOLDINGS,Equity,Equity Securities (GEM),"5,000",HKD 0.0100,KYG5380R1020
8473,MI MING MART,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG148491064
8475,K GROUP HLDGS,Equity,Equity Securities (GEM),"5,000",HKD 0.0100,KYG525891019
8476,OCEAN ONE HLDG,Equity,Equity Securities (GEM),"2,000",HKD 0.0100,KYG669791082
8479,JTF INTL,Equity,Equity Securities (GEM),"4,000",HKD 0.0100,KYG520041016
8480,FURNIWEB,Equity,Equity Securities (GEM),"4,000",HKD 0.1000,KYG370041017
8481,SHENGLONG INTL,Equity,Equity Securities (GEM),"5,000",HKD 0.0100,KYG811691073
8482,WAN LEADER,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG943091044
8483,MAX SIGHT GROUP,Equity,Equity Securities (GEM),"8,000",HKD 0.0100,KYG6053A1031
8485,SMART GLOBE,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG8233R1056
8487,ISP GLOBAL,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG4970A1085
8490,NICHE-TECH,Equity,Equity Securities (GEM),"5,000",HKD 0.0100,KYG6541R1065
8491,COOL LINK,Equity,Equity Securities (GEM),"5,000",HKD 0.0100,KYG241891053
8493,DRAGON KING GP,Equity,Equity Securities (GEM),"12,000",HKD 0.0100,
8495,1957 & CO.,Equity,Equity Securities (GEM),"4,000",HKD 0.0001,KYG675711025
8496,SG FOOD HLDGS,Equity,Equity Securities (GEM),"2,500",HKD 0.0100,KYG8237A1085
8500,ICONCULTURE,Equity,Equity Securities (GEM),"2,000",HKD 0.0100,KYG4707P1054
8501,SANBASE CORP,Equity,Equity Securities (GEM),"2,000",USD 0.0010,KYG7786R1083
8502,OCEAN LINE PORT,Equity,Equity Securities (GEM),"8,000",HKD 0.0100,KYG669691092
8506,FUTEX HLDGS,Equity,Equity Securities (GEM),"12,000",HKD 0.0100,KYG2163Y1070
8507,I.CENTURY HLDG,Equity,Equity Securities (GEM),"4,000",HKD 0.0100,KYG469111069
8509,WINE'S LINK,Equity,Equity Securities (GEM),"4,000",HKD 0.0100,KYG9705R1020
8510,TOPSTANDARDCORP,Equity,Equity Securities (GEM),"8,000",HKD 0.0100,KYG894351041
8511,ZC TECH GP,Equity,Equity Securities (GEM),"4,000",USD 0.0001,KYG9897F1063
8512,HYFUSIN GROUP,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG4713A1004
8513,IAG HOLDINGS,Equity,Equity Securities (GEM),"4,000",HKD 0.0100,
8516,GRAND TALENTS,Equity,Equity Securities (GEM),"1,000",HKD 0.0100,KYG4R39W1003
8519,JIA GROUP,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG7396H1020
8521,ST INTL HLDGS,Equity,Equity Securities (GEM),"5,000",HKD 0.0100,KYG8501E1098
8523,SHEUNG MOON,Equity,Equity Securities (GEM),"5,000",HKD 0.0100,KYG810071095
8525,BAIYING HOLDING,Equity,Equity Securities (GEM),"2,000",HKD 0.0100,KYG0706A1076
8526,WING FUNG GROUP,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG970591023
8527,JLOGO HLDGS,Equity,Equity Securities (GEM),"5,000",HKD 0.0100,KYG514071078
8532,POLYFAIR HLDGS,Equity,Equity Securities (GEM),"8,000",HKD 0.0100,KYG715921022
8535,VISTAR HOLDINGS,Equity,Equity Securities (GEM),"20,000",HKD 0.0100,KYG9377R1092
8536,TL NATURAL GAS,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG889141092
8537,CHONG FAI JEWEL,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,
8540,VICTORY SEC,Equity,Equity Securities (GEM),"2,000",HKD 0.0100,KYG9380M1050
8545,AMUSE GROUP,Equity,Equity Securities (GEM),"8,000",HKD 0.0100,KYG042491012
8547,PACIFIC LEGEND,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG685511035
8601,BOLTEK,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG1219A1058
8603,FAMEGLOW,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG3313G1038
8606,KINETIX SYSTEMS,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG5259G1047
8607,NARNIA GROUP,Equity,Equity Securities (GEM),"5,000",USD 0.0010,KYG6367U1004
8609,EGGRICULTURE,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG2946A1031
8611,MINDTELL TECH,Equity,Equity Securities (GEM),"5,000",HKD 0.0100,KYG614201088
8612,WORLD SUPER,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG9775A1040
8613,ORIENTAL PAY,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG6779G1038
8616,SUNRAY ENG GP,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG8588D1079
8617,BEST LINKING,Equity,Equity Securities (GEM),"5,000",HKD 0.0100,KYG106581054
8619,WAC HOLDINGS,Equity,Equity Securities (GEM),"2,000",HKD 0.0100,KYG940321022
8620,AE LOGISTICS,Equity,Equity Securities (GEM),"5,000",HKD 0.0100,KYG0540D1016
8621,METROPOLIS CAP,Equity,Equity Securities (GEM),"8,000",HKD 0.0100,KYG6045W1069
8622,HUAKANG BIOMED,Equity,Equity Securities (GEM),"8,000",HKD 0.0100,KYG4644W1069
8623,CHINA SAFTOWER,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG2121V1041
8627,ORANGE TOUR,Equity,Equity Securities (GEM),"8,000",USD 0.0010,KYG6S70M1069
8631,SUN KONG HLDGS,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG858761037
8635,NOVACON TECH,Equity,Equity Securities (GEM),"4,000",HKD 0.0100,KYG6673A1031
8645,NOMAD TECH,Equity,Equity Securities (GEM),"6,000",HKD 0.0100,KYG6561R1011
8646,CHINA HONGGUANG,Equity,Equity Securities (GEM),"3,000",HKD 0.0100,KYG2164A1085
8657,TRUE PARTNER,Equity,Equity Securities (GEM),"2,000",HKD 0.0100,KYG9112G1038
8659,YIK WO INTL,Equity,Equity Securities (GEM),"5,000",HKD 0.0100,KYG984161037
8668,YING HAI GROUP,Equity,Equity Securities (GEM),"10,000",HKD 0.0100,KYG9843B1005
9010,ISHARES AXJ-U,Exchange Traded Products,Exchange Traded Funds,100,,HK0000310042
9011,A ICBCCICCUSD-U,Exchange Traded Products,Exchange Traded Funds,1,,HK0000507415
9022,ISHARESMSCIEM-U,Exchange Traded Products,Exchange Traded Funds,10,,HK0000625209
9031,HT CH A ESG-U,Exchange Traded Products,Exchange Traded Funds,100,,HK0000656931
9047,F SSIFIRONORE-U,Exchange Traded Products,Exchange Traded Funds,100,,HK0000591633
9067,ISHARESHSTECH-U,Exchange Traded Products,Exchange Traded Funds,100,,HK0000651221
9072,NIKKOAM INET-U,Exchange Traded Products,Exchange Traded Funds,10,,HK0000518578
9074,ISHARESMSCITW-U,Exchange Traded Products,Exchange Traded Funds,100,,HK0000297793
9077,PREMIA UST-U,Exchange Traded Products,Exchange Traded Funds,5,,HK0000515848
9078,PREMIA UST A-U,Exchange Traded Products,Exchange Traded Funds,5,,HK0000535606
9081,VALUEGOLD ETF-U,Exchange Traded Products,Exchange Traded Funds,100,,HK0000331790
9085,VANGUARDAXJHY-U,Exchange Traded Products,Exchange Traded Funds,100,,HK0000399029
9086,BMO NASDAQ100-U,Exchange Traded Products,Exchange Traded Funds,200,,HK0000478740
9088,CAM HS TECH-U,Exchange Traded Products,Exchange Traded Funds,200,,HK0000643335
9091,A NIKKOAMGAME-U,Exchange Traded Products,Exchange Traded Funds,10,,HK0000601028
9096,CSOP USD MM-U,Exchange Traded Products,Exchange Traded Funds,"1,000",,HK0000473311
9101,VANGUARDDVEUR-U,Exchange Traded Products,Exchange Traded Funds,100,,HK0000399003
9115,ISHARESHSI-U,Exchange Traded Products,Exchange Traded Funds,100,,HK0000313442
9126,VANGUARDJAPAN-U,Exchange Traded Products,Exchange Traded Funds,100,,HK0000398989
9140,VANGUARDSP500-U,Exchange Traded Products,Exchange Traded Funds,100,,HK0000399045
9141,BMO ASIA IGB-U,Exchange Traded Products,Exchange Traded Funds,200,,HK0000478708
9167,ICBCCSOPCHINA-U,Exchange Traded Products,Exchange Traded Funds,50,,HK0000406949
9169,VANGUARDCHINA-U,Exchange Traded Products,Exchange Traded Funds,100,,HK0000415304
9170,ISHARESKS200-U,Exchange Traded Products,Exchange Traded Funds,100,,HK0000297827
9173,PP CN NEWECON-U,Exchange Traded Products,Exchange Traded Funds,500,,HK0000526258
9181,PREMIAASIATEC-U,Exchange Traded Products,Exchange Traded Funds,50,,HK0000433406
9186,CICCKRANECNET-U,Exchange Traded Products,Exchange Traded Funds,50,,HK0000398385
9187,SAMSUNG REITS-U,Exchange Traded Products,Exchange Traded Funds,200,,HK0000656964
9191,GX CN SEMICON-U,Exchange Traded Products,Exchange Traded Funds,50,,HK0000637824
9616,NEUEDU,Equity,Equity Securities (Main Board),800,HKD 0.0002,KYG6460B1086
9618,JD-SW,Equity,Equity Securities (Main Board),50,USD 0.00002,KYG8208B1014
9633,NONGFU SPRING,Equity,Equity Securities (Main Board),200,RMB 0.1000,CNE100004272
9668,CBHB,Equity,Equity Securities (Main Board),500,RMB 1.0000,CNE100003YB7
9677,WEIHAI BANK,Equity,Equity Securities (Main Board),"1,000",RMB 1.0000,CNE100004280
9688,ZAI LAB-SB,Equity,Equity Securities (Main Board),50,USD 0.00006,KYG9887T1085
9803,PP BEDROCK-U,Exchange Traded Products,Exchange Traded Funds,500,,HK0000526241
9804,PREMIA VIET-U,Exchange Traded Products,Exchange Traded Funds,50,,HK0000515863
9805,VANGUARDASXJP-U,Exchange Traded Products,Exchange Traded Funds,100,,HK0000398963
9806,GX CN CONSUME-U,Exchange Traded Products,Exchange Traded Funds,50,,HK0000562626
9807,GX CN ROBO&AI-U,Exchange Traded Products,Exchange Traded Funds,50,,HK0000637840
9809,GX CN CLN EN-U,Exchange Traded Products,Exchange Traded Funds,50,,HK0000562667
9810,PREMIAEMASEAN-U,Exchange Traded Products,Exchange Traded Funds,50,,HK0000433422
9812,SAMSUNGCDGN-U,Exchange Traded Products,Exchange Traded Funds,200,,HK0000604055
9820,GX CN BIOTECH-U,Exchange Traded Products,Exchange Traded Funds,50,,HK0000516689
9826,GX CN CLOUD-U,Exchange Traded Products,Exchange Traded Funds,50,,HK0000516705
9834,ISHARESND100-U,Exchange Traded Products,Exchange Traded Funds,100,,HK0000297678
9836,ISHARES INDIA-U,Exchange Traded Products,Exchange Traded Funds,200,,HK0000310026
9845,GX CN ELE VEH-U,Exchange Traded Products,Exchange Traded Funds,50,,HK0000562642
9846,ISHARESCSI300-U,Exchange Traded Products,Exchange Traded Funds,100,,HK0000326147
9900,GAIN PLUS HLDGS,Equity,Equity Securities (Main Board),"4,000",HKD 0.0100,KYG3708A1094
9906,HONLIV HEALTH,Equity,Equity Securities (Main Board),"2,000",HKD 0.0001,KYG4594A1040
9908,JIAXING GAS,Equity,Equity Securities (Main Board),500,RMB 1.0000,CNE100003TX1
9909,POWERLONG CM,Equity,Equity Securities (Main Board),500,HKD 0.0100,KYG7204G1064
9911,NEWBORNTOWN,Equity,Equity Securities (Main Board),"2,000",USD 0.0001,KYG6464H1011
9913,CHI KAN HLDGS,Equity,Equity Securities (Main Board),"4,000",HKD 0.0100,KYG4465C1069
9916,XINGYE WULIAN,Equity,Equity Securities (Main Board),"2,000",HKD 0.0100,KYG9831E1089
9918,WISE ALLY INTL,Equity,Equity Securities (Main Board),"8,000",HKD 0.0100,KYG9722H1039
9919,ACTIVATION GP,Equity,Equity Securities (Main Board),"2,000",HKD 0.0010,KYG0081C1087
9922,JIUMAOJIU,Equity,Equity Securities (Main Board),"1,000",USD 0.0000,KYG5141L1059
9923,YEAHKA,Equity,Equity Securities (Main Board),400,USD 0.00003,KYG9835C1087
9926,AKESO-B,Equity,Equity Securities (Main Board),"1,000",USD 0.00001,KYG0146B1032
9928,TIMES NEIGHBOR,Equity,Equity Securities (Main Board),"1,000",HKD 0.0100,KYG8903A1013
9929,SEM HLDGS,Equity,Equity Securities (Main Board),"10,000",HKD 0.0100,KYG802021074
9933,GHW INTL,Equity,Equity Securities (Main Board),"4,000",HKD 0.0100,KYG3854D1051
9936,XIMEI RESOURCES,Equity,Equity Securities (Main Board),"2,500",HKD 0.0100,KYG9831K1040
9938,WAH WO HOLDINGS,Equity,Equity Securities (Main Board),"5,000",HKD 0.0100,KYG9420J1040
9939,KINTOR PHARMA-B,Equity,Equity Securities (Main Board),500,USD 0.0001,KYG5273B1077
9958,LITIAN PICTURES,Equity,Equity Securities (Main Board),"1,000",HKD 0.0100,KYG5579G1073
9966,ALPHAMAB-B,Equity,Equity Securities (Main Board),"1,000",USD 0.0000,KYG0330A1013
9968,HUIJING HLDGS,Equity,Equity Securities (Main Board),"2,000",HKD 0.0100,KYG4644T1031
9969,INNOCARE-B,Equity,Equity Securities (Main Board),"1,000",USD 0.0000,KYG4783B1032
9977,FENGXIANG CO,Equity,Equity Securities (Main Board),"1,000",RMB 1.0000,CNE100003Y99
9978,FINELANDSERVICE,Equity,Equity Securities (Main Board),"4,000",HKD 0.0100,KYG3446A1067
9979,GREENTOWN MGMT,Equity,Equity Securities (Main Board),"1,000",HKD 0.0100,KYG4102M1033
9983,CC NEW LIFE,Equity,Equity Securities (Main Board),"1,000",HKD 0.0100,KYG206AA1025
9986,DASHAN EDU,Equity,Equity Securities (Main Board),"2,000",HKD 0.0100,KYG2660B1059
9987,YUM CHINA-S,Equity,Equity Securities (Main Board),50,USD 0.0100,US98850P1093
9988,BABA-SW,Equity,Equity Securities (Main Board),100,USD 0.0000,KYG017191142
9989,HEPALINK,Equity,Equity Securities (Main Board),500,RMB 1.0000,CNE100003YN2
9990,ARCHOSAUR GAMES,Equity,Equity Securities (Main Board),"1,000",USD 0.00001,KYG0512W1033
9991,BAOZUN-SW,Equity,Equity Securities (Main Board),100,USD 0.0001,KYG0891M1069
9996,PEIJIA-B,Equity,Equity Securities (Main Board),"1,000",USD 0.0001,KYG6981F1090
9997,KANGJI MEDICAL,Equity,Equity Securities (Main Board),500,USD 0.00001,KYG5215A1004
9998,KWAN YONG,Equity,Equity Securities (Main Board),"5,000",HKD 0.0100,KYG5322P1072
9999,NTES-S,Equity,Equity Securities (Main Board),100,USD 0.0001,KYG6427A1022
10115,BPUSCNH@EC2012A,Derivative Warrants,,"10,000",,NL0014276784
10116,BPUSCNH@EP2012A,Derivative Warrants,,"10,000",,NL0014276792
10117,BPUSYEN@EC2012A,Derivative Warrants,,"10,000",,NL0014276800
10118,BPUSYEN@EP2012A,Derivative Warrants,,"10,000",,NL0014276818
10119,BPEURUS@EC2012A,Derivative Warrants,,"10,000",,NL0014276826
10120,BPEURUS@EP2012A,Derivative Warrants,,"10,000",,NL0014276834
10121,BPGBPUS@EC2012A,Derivative Warrants,,"10,000",,NL0014276842
10122,BPGBPUS@EP2012A,Derivative Warrants,,"10,000",,NL0014276859
10126,SG-N225@EC2012A,Derivative Warrants,,"10,000",,
10131,BP-OIL @EC2011A,Derivative Warrants,,"10,000",,NL0014464851
10132,BP-OIL @EP2011A,Derivative Warrants,,"10,000",,NL0014464844
10133,BP-GOLD@EC2012A,Derivative Warrants,,"10,000",,NL0014780173
10134,JP-N225@EC2012A,Derivative Warrants,,"10,000",,NL0014502999
10135,JP-N225@EP2012A,Derivative Warrants,,"10,000",,NL0014502981
10136,JP-N225@EC2103A,Derivative Warrants,,"10,000",,NL0015026766
10137,BP-GOLD@EP2103A,Derivative Warrants,,"10,000",,NL0015476714
10138,JP-N225@EP2103A,Derivative Warrants,,"10,000",,NL0015026774
10139,JPNQ100@EP2103A,Derivative Warrants,,"10,000",,NL0014785636
10140,BP-GOLD@EC2103A,Derivative Warrants,,"10,000",,NL0015284811
10141,BP-GOLD@EC2103B,Derivative Warrants,,"10,000",,NL0015475716
10142,BP-GOLD@EC2103C,Derivative Warrants,,"10,000",,NL0015476722
10143,JPNQ100@EC2103A,Derivative Warrants,,"10,000",,NL0014785628
10144,JP-S&P @EP2103A,Derivative Warrants,,"10,000",,NL0014785685
10145,JP-S&P @EC2103A,Derivative Warrants,,"10,000",,NL0014785677
10146,JPNQ100@EP2103B,Derivative Warrants,,"10,000",,NL0014785701
10147,JPNQ100@EC2103B,Derivative Warrants,,"10,000",,NL0014785693
10148,JP-S&P @EC2103B,Derivative Warrants,,"10,000",,NL0014785727
10149,JP-S&P @EP2103B,Derivative Warrants,,"10,000",,NL0014785719
10150,JPNQ100@EP2103C,Derivative Warrants,,"10,000",,NL0014785883
10151,JPNQ100@EC2103C,Derivative Warrants,,"10,000",,NL0014785875
10152,HSNQ100@EP2103A,Derivative Warrants,,"10,000",,HK0000652260
10153,HSNQ100@EC2103A,Derivative Warrants,,"10,000",,HK0000652278
10154,SG-N225@EC2103A,Derivative Warrants,,"10,000",,
10155,SG-N225@EP2103A,Derivative Warrants,,"10,000",,
10156,JPNQ100@EC2103D,Derivative Warrants,,"10,000",,NL0014786329
10157,JP-S&P @EC2103C,Derivative Warrants,,"10,000",,NL0014786311
10158,JP-S&P @EP2103C,Derivative Warrants,,"10,000",,NL0014786303
10159,JPNQ100@EP2103D,Derivative Warrants,,"10,000",,NL0014786295
10160,JP-N225@EC2106A,Derivative Warrants,,"10,000",,NL0015526716
10161,JP-N225@EP2106A,Derivative Warrants,,"10,000",,NL0015526724
10162,HSNQ100@EC2103B,Derivative Warrants,,"10,000",,HK0000653821
10163,HSNQ100@EC2103C,Derivative Warrants,,"10,000",,HK0000653839
11002,HTGEELY@EC2103A,Derivative Warrants,,"10,000",,HK0000658929
11004,VT-HKEX@EC2104A,Derivative Warrants,,"10,000",,CH0567350480
11005,CTMTUAN@EC2011A,Derivative Warrants,,"5,000",,DE000KA9SGW9
11007,VT-CMOB@EC2107A,Derivative Warrants,,"5,000",,CH0567350472
11008,VTTENCT@EC2202A,Derivative Warrants,,"50,000",,CH0567350449
11010,GSCNOOC@EC2012A,Derivative Warrants,,"10,000",,
11011,MB-DFMG@EC2103A,Derivative Warrants,,"10,000",,
11012,SG-ZAOL@EC2106A,Derivative Warrants,,"5,000",,
11018,SGMTUAN@EC2102F,Derivative Warrants,,"10,000",,
11020,GSALIBA@EC2103J,Derivative Warrants,,"10,000",,
11023,CSMTUAN@EP2104A,Derivative Warrants,,"10,000",,CH0539471711
11026,CSMTUAN@EC2012D,Derivative Warrants,,"5,000",,CH0539471729
11029,CS-SMIC@EC2011A,Derivative Warrants,,"5,000",,CH0539471737
11030,BILENOV@EC2012A,Derivative Warrants,,"10,000",,HK0000535630
